Latitude,Longitude,distance_to_nearest_substation_m,distance_to_nearest_powerline_m,altitude
39.66,20.07,53685.65565119363,4374.400725638041,-26.0473575592041
39.66,20.09,55401.40306409112,2683.376757249522,-8.152555465698242
39.66,20.11,57117.144151692446,1062.5874050191858,8.846414566040039
39.66,20.13,58085.39965694446,501.5413016905149,86.27215576171875
39.66,20.15,58710.942551422675,2065.50790825789,237.7628021240234
39.66,20.17,59379.13470946836,3629.312452403837,427.6268005371094
39.66,20.19,60088.552924349824,5192.9549718055,86.83363342285156
39.66,20.21,60837.75461256876,6756.435504089483,634.161376953125
39.66,20.23,61625.28840864988,8319.754086835817,581.0335083007812
39.66,20.25,62449.70376814643,9882.910757576868,446.2523803710938
39.66,20.27,63309.55953311719,11458.31497531106,353.7520141601562
39.66,20.29,64203.43144750483,13067.80792913983,801.65185546875
39.66,20.31,65129.918637628136,14701.231008498571,471.0534973144531
39.66,20.33,66087.6490953652,16351.412954315576,414.9170227050781
39.66,20.35,67075.2842186014,18013.747501594342,448.3736267089844
39.66,20.37,68091.52247568483,19685.155132531603,817.937744140625
39.66,20.39,69135.10226835909,21363.505487618415,293.4762268066406
39.66,20.41,70204.80407180305,23047.281040146074,518.243896484375
39.66,20.43,71299.45193145264,24735.37316854907,468.792724609375
39.66,20.45,72417.91439493003,26426.95402026122,483.3026428222656
39.66,20.47,73559.10495431395,28121.39343098909,194.2228088378906
39.66,20.49,74721.98206950053,29818.203542268788,330.8922119140625
39.66,20.51,75905.54883815841,31517.00096349045,214.9343719482422
39.66,20.53,77108.85237202338,33217.480347382145,181.0668487548828
39.66,20.55,78330.98293325794,34919.39557016085,104.956916809082
39.66,20.57,79571.07287874387,36622.54608879362,203.5450744628906
39.66,20.59,80828.29545436068,38326.766891918574,341.2059631347656
39.66,20.61,82101.863475907,40031.92098965321,278.4842224121094
39.66,20.63,83391.02792825266,41737.89372614131,712.5986328125
39.66,20.65,83063.7410861028,43444.58842003066,267.8072204589844
39.66,20.67,81350.84968089632,45151.92298550968,647.6660766601562
39.66,20.69,79638.10144242497,46859.82728642262,617.674560546875
39.66,20.71,77925.50563878477,48568.241044740855,573.4668579101562
39.66,20.73,76213.07237954348,50048.09206490293,719.3232421875
39.66,20.75,74500.81271224361,51503.48066259965,686.32373046875
39.66,20.77,72788.73873247964,52974.25484865887,801.9678955078125
39.66,20.79,71076.86370983138,54459.167977314995,810.0427856445312
39.66,20.81,69365.20223237676,55957.09436724186,545.2354125976562
39.66,20.83,67653.77037305868,57467.01634449069,521.2969360351562
39.66,20.85,65942.5858818545,58988.01269553542,506.7561340332031
39.66,20.87,64231.66840853607,60519.248397280986,468.0
39.66,20.89,62521.03976184198,62059.96549476446,468.0
39.66,20.91,60810.72421219064,63609.47500459399,468.0
39.66,20.93,59100.74884669819,65167.14973127921,476.1410217285156
39.66,20.95,57391.14398733172,66732.4178935398,596.7161865234375
39.66,20.97,55681.94368567372,68304.7574676566,931.1879272460938
39.66,20.99,53973.18631114196,69883.69116466433,455.8854370117188
39.66,21.01,52264.91525388779,71468.7819672468,860.6280517578125
39.66,21.03,50557.1797692535,73059.62916064155,774.9786987304688
39.66,21.05,48850.035998110136,74655.86479946955,1872.220825195312
39.66,21.07,47143.54820721727,76257.15055928554,1415.193725585938
39.68,19.13,27048.027639318665,83827.24551294293,-1102.852416992188
39.68,19.15,25338.096317365584,82138.46068331106,-1119.430297851562
39.68,19.17,23629.043678270067,80450.7554842055,-1137.610717773438
39.68,19.19,21921.07251001169,78764.19853134932,-1153.637329101562
39.68,19.21,20214.454018087737,77078.86440578545,-1161.952880859375
39.68,19.23,18509.55920836395,75394.83430933321,-1163.429321289062
39.68,19.25,16806.909206567198,73712.19680750903,-1163.966552734375
39.68,19.27,15107.259255309404,72031.04867369289,-1164.952514648438
39.68,19.29,13411.745780442374,70351.49585080982,-1167.214599609375
39.68,19.31,11722.159097727135,68673.65454982928,-1172.932006835938
39.68,19.33,10041.485922924094,66997.65250803488,-1180.676391601562
39.68,19.35,8375.087665889328,65323.63043446796,-1196.287109375
39.68,19.37,6733.562845120049,63651.74367535143,-1199.055053710938
39.68,19.39,5140.783943373533,61982.16413895039,-1144.361206054688
39.68,19.41,3660.9236805364817,60315.08252746146,-1037.893920898438
39.68,19.43,2502.9729971692423,58650.71093357173,-807.9710693359375
39.68,19.45,2239.44036881383,56989.28587178312,-492.6658020019531
39.68,19.47,3106.914925752433,55331.07183006371,-299.4479675292969
39.68,19.49,4492.021476910461,53676.36544671659,-208.2586669921875
39.68,19.51,6049.050000875925,52025.50044157499,-187.4844512939453
39.68,19.53,7674.051839221927,50378.85346112833,-193.9208831787109
39.68,19.55,9331.578639261465,48736.851035722226,-190.2177734375
39.68,19.57,11006.942260893138,47099.977895875825,-175.0954284667969
39.68,19.59,12693.078206649812,45468.786957038,-150.2814025878906
39.68,19.61,14386.19613446404,43843.91136168543,-102.6693344116211
39.68,19.63,16084.088533977329,42172.59651510868,-129.3473052978516
39.68,19.65,17785.385615167976,40460.81234957874,-75.61701965332031
39.68,19.67,19489.19357078689,38749.38504108688,0.0
39.68,19.69,21194.904891215785,37038.36285812801,285.6029663085938
39.68,19.71,22902.092492167612,35327.80342742194,219.5068054199219
39.68,19.73,24610.447498692527,33617.77610789229,108.4296493530273
39.68,19.75,26319.741069973865,31908.365124455013,82.5890884399414
39.68,19.77,28029.800099047323,30199.673760658803,103.0405731201172
39.68,19.79,29740.4912478873,28491.830051385456,64.1384048461914
39.68,19.81,31451.710166504825,26784.994639590313,67.7937240600586
39.68,19.83,33163.374035093846,25079.37181847051,35.21739959716797
39.68,19.85,34875.41629377024,23375.22536899462,0.0
39.68,19.87,36587.78284681653,21672.901800623924,-4.57713508605957
39.68,19.89,38300.42928197271,19972.86535121992,-53.51681518554688
39.68,19.91,40013.318801827605,18275.752280146415,-44.86005401611328
39.68,19.93,41726.420663412995,16582.45801424853,-50.66396331787109
39.68,19.95,43439.70898616184,14894.282696800195,-45.29066467285156
39.68,19.97,45153.16183067084,13213.185919387384,-7.757129192352295
39.68,19.99,46866.76047915469,11542.25807345366,0.0
39.68,20.01,48580.48886791008,9886.653059744927,4.215152263641357
39.68,20.03,50294.33313561878,8255.590785219265,-2.259212255477905
39.68,20.05,52008.28126082364,6666.756804060226,0.0
39.68,20.07,53722.3227687004,5102.589616099853,76.41600036621094
39.68,20.09,54853.49770788538,3538.584656429483,24.99398422241211
39.68,20.11,55409.91576625152,1974.741887323938,375.6587524414062
39.68,20.13,56012.99372339154,411.0612711071431,68.83428192138672
39.68,20.15,56661.24123641198,1152.457229850318,189.4477081298828
39.68,20.17,57353.126245809,2715.813653130007,516.7626953125
39.68,20.19,58087.089009265306,4279.008036264586,748.8969116210938
39.68,20.21,58861.55508158676,5858.140930702179,971.568359375
39.68,20.23,59674.94711090761,7492.263099117184,908.2740478515625
39.68,20.25,60525.6953742526,9156.014790514831,727.5678100585938
39.68,20.27,61412.24702232519,10835.754182389022,810.6782836914062
39.68,20.29,62333.07404291882,12525.04871744396,577.5868530273438
39.68,20.31,63286.67998427267,14220.491965235911,443.7312622070312
39.68,20.33,64271.605504110026,15920.118217547057,195.993408203125
39.68,20.35,65286.432827520155,17622.71602369134,206.7421112060547
39.68,20.37,66329.78920818266,19327.49903154624,480.6138916015625
39.68,20.39,67400.34949335441,21033.934983018415,498.8441772460938
39.68,20.41,68496.83789481144,22741.65095483683,769.5228271484375
39.68,20.43,69618.02906618486,24450.377993115417,555.322509765625
39.68,20.45,70762.7485829722,26159.917300954996,841.4551391601562
39.68,20.47,71929.8729154492,27870.11879923184,324.9446105957031
39.68,20.49,73118.32897764358,29580.86708773685,130.10595703125
39.68,20.51,74327.09332769609,31292.07199159856,234.1433258056641
39.68,20.53,75555.19108699508,33003.66203754321,124.0470275878906
39.68,20.55,76801.6946375899,34715.57985354849,217.2734985351562
39.68,20.57,78065.72214975029,36427.77886176976,160.5457153320312
39.68,20.59,79346.43598448526,38140.22085985035,252.1063385009766
39.68,20.61,80643.04100924806,39852.87422429284,296.8934936523438
39.68,20.63,81954.78285908516,41565.71255702013,413.4950561523438
39.68,20.65,83217.50397531492,43105.05336746772,550.2493286132812
39.68,20.67,81508.34184615784,44523.501148888536,475.8060607910156
39.68,20.69,79799.47188629367,45961.97559373317,582.9404296875
39.68,20.71,78090.91310502605,47418.653989478174,632.97802734375
39.68,20.73,76382.68621809692,48891.90910198818,693.5230102539062
39.68,20.75,74674.81384200917,50380.28656402203,676.6284790039062
39.68,20.77,72967.32071545078,51882.48479875574,671.4078979492188
39.68,20.79,71260.233952327,53397.33727178051,536.0072021484375
39.68,20.81,69553.58333177475,54923.79684952698,495.136962890625
39.68,20.83,67847.40163160235,56460.922042434046,468.0
39.68,20.85,66141.72501291233,58007.86492103806,517.592529296875
39.68,20.87,64436.59346528147,59563.86050838317,468.0
39.68,20.89,62732.05132388028,61128.21746975919,638.41162109375
39.68,20.91,61028.14787241641,62700.30993913043,488.4041748046875
39.68,20.93,59324.93804892847,64279.570339487895,904.01611328125
39.68,20.95,57622.48327540341,65865.48307121353,949.1338500976562
39.68,20.97,55920.85243721133,67457.57895797056,737.634521484375
39.68,20.99,54220.12304473643,69055.4303535837,475.5856018066406
39.68,21.01,52520.38261781219,70658.64682573873,594.3899536132812
39.68,21.03,50821.730344169446,72266.87134332077,750.0255126953125
39.68,21.05,49124.27907694211,73879.77690378018,1115.6708984375
39.68,21.07,47428.15775442138,75497.06354529904,1598.42822265625
39.7,19.13,27313.290364899905,83468.02742351839,-1065.067504882812
39.7,19.15,25621.57135527251,81772.32143387671,-1086.03271484375
39.7,19.17,23933.273107249548,80077.39694851561,-1114.020385742188
39.7,19.19,22249.171663723795,78383.30387598799,-1139.610717773438
39.7,19.21,20570.294962393094,76690.09651798462,-1151.588745117188
39.7,19.23,18898.032443443743,74997.83405927988,-1156.342163085938
39.7,19.25,17234.306210858238,73306.58112425612,-1156.342163085938
39.7,19.27,15581.847192453712,71616.40841074122,-1156.671142578125
39.7,19.29,13944.65746462484,69927.39341386867,-1160.342163085938
39.7,19.31,12328.817019797774,68239.62125511744,-1157.013305664062
39.7,19.33,10743.957564891176,66553.18563463449,-1167.4140625
39.7,19.35,9206.08758845068,64868.18992856373,-1178.857299804688
39.7,19.37,7743.248404011037,63184.74845754307,-1140.3828125
39.7,19.39,6407.032089673305,61502.987958002406,-766.2593994140625
39.7,19.41,5294.189051900041,59823.0492946894,-986.1227416992188
39.7,19.43,4570.8780111197875,58145.08946126971,-530.4283447265625
39.7,19.45,4432.0901644904525,56469.28392641529,-345.1345520019531
39.7,19.47,4927.45677137542,54795.82939604318,-195.2364044189453
39.7,19.49,5899.326100864565,53124.94707911708,-155.7598114013672
39.7,19.51,7156.11493061745,51456.88656567381,-166.7684326171875
39.7,19.53,8573.420091013468,49791.93045288247,-166.2960205078125
39.7,19.55,10083.779439457465,48130.39988975364,-175.9982147216797
39.7,19.57,11651.056405418878,46472.66125608611,-116.3978042602539
39.7,19.59,13255.07312270735,44819.134249570285,-94.06666564941406
39.7,19.61,14883.95318020058,43170.301731182466,-80.4601058959961
39.7,19.63,16530.345526647183,41526.72177902037,-52.81864166259766
39.7,19.65,18189.493101872344,39889.0425328921,-13.36483097076416
39.7,19.67,19858.1969180661,38258.020587368745,0.0
39.7,19.69,21534.233573369227,36634.5439251703,304.4402465820312
39.7,19.71,23216.01319659622,35019.660696527964,315.7781372070312
39.7,19.73,24902.37062772094,33410.54448534418,311.4858703613281
39.7,19.75,26592.433472707096,31801.376575198705,170.2608642578125
39.7,19.77,28285.5361539761,30192.083771797978,134.6725921630859
39.7,19.79,29981.1623900628,28582.66604101866,88.7374267578125
39.7,19.81,31678.90576494125,26973.123348690115,110.2003326416016
39.7,19.83,33378.442111403725,25363.455660599266,0.0
39.7,19.85,35079.50979254789,23740.35176118455,15.91384983062744
39.7,19.87,36781.89537592472,22066.714111922138,-1.064316868782043
39.7,19.89,38485.4230606262,20400.02230974548,-41.68650817871094
39.7,19.91,40189.9467618338,18742.127524577732,-31.51346588134766
39.7,19.93,41895.34410710883,17095.587197247114,-47.0861701965332
39.7,19.95,43601.511827996685,15464.026392158488,-48.50443649291992
39.7,19.97,45308.362183628735,13852.736447437288,58.86310958862305
39.7,19.99,47015.82015700596,12269.70327776135,48.64534378051758
39.7,20.01,48723.821236370575,10705.485964865506,-5.539097309112549
39.7,20.03,50432.30964428344,9141.442418241117,188.4911346435547
39.7,20.05,51741.61703621629,7577.561189827134,70.7093734741211
39.7,20.07,52219.205928632466,6013.842241944549,14.0
39.7,20.09,52747.87728787554,4426.385455551749,16.74222564697266
39.7,20.11,53326.111317079,2814.9642102590824,109.2157745361328
39.7,20.13,53952.31396047667,1203.4174508391195,693.5595703125
39.7,20.15,54624.83505366509,408.25485760889353,628.1484375
39.7,20.17,55341.98554668908,2083.24703328909,294.2248840332031
39.7,20.19,56102.05351960352,3793.1850630442127,618.3426513671875
39.7,20.21,56903.318789298246,5506.123820079822,615.5139770507812
39.7,20.23,57744.06598089366,7219.924324856345,811.10986328125
39.7,20.25,58622.596003759005,8934.08791057995,407.6986694335938
39.7,20.27,59537.23592906936,10648.436984506889,311.8160095214844
39.7,20.29,60486.34731210737,12362.892501519502,299.9960021972656
39.7,20.31,61468.33303804085,14077.413969510144,327.1495361328125
39.7,20.33,62481.642795383326,15791.978524570017,452.354248046875
39.7,20.35,63524.77729796855,17506.572299652784,396.4931945800781
39.7,20.37,64596.2913850815,19221.186412184063,243.6586761474609
39.7,20.39,65694.79613219271,20935.814923097172,528.0657348632812
39.7,20.41,66818.9601024938,22650.453722779577,460.9093933105469
39.7,20.43,67967.50986375946,24365.09988738079,434.119140625
39.7,20.45,69139.22988682639,26079.75128902641,437.6482849121094
39.7,20.47,70332.9619321986,27794.40635030423,139.4914855957031
39.7,20.49,71547.60402071409,29509.063884340107,177.5577087402344
39.7,20.51,72782.1090734273,31223.72298756735,271.2769470214844
39.7,20.53,74035.48329520765,32938.38296598551,311.7494201660156
39.7,20.55,75306.78436652118,34653.04328331536,304.2218322753906
39.7,20.57,76595.11949838467,36266.31162453774,307.0565490722656
39.7,20.59,77899.64339697726,37630.50201692836,207.3503875732422
39.7,20.61,79219.55617661921,39022.13354885098,159.2406463623047
39.7,20.63,80554.10125304277,40438.37298648681,280.8567810058594
39.7,20.65,81902.56324286366,41876.72348325192,567.7070922851562
39.7,20.67,81725.83772373336,43334.983168135484,353.7793579101562
39.7,20.69,80022.10920785091,44811.208201208356,372.418212890625
39.7,20.71,78318.90416230388,46303.680146346815,703.5537109375
39.7,20.73,76616.2573326579,47810.87736186955,540.4944458007812
39.7,20.75,74914.20662071703,49331.45003856016,575.4231567382812
39.7,20.77,73212.79344853538,50864.1984925732,500.2856750488281
39.7,20.79,71512.06317376063,52408.05432834929,518.7527465820312
39.7,20.81,69812.06556491018,53962.06411084667,522.6968383789062
39.7,20.83,68112.85534686543,55525.37521871823,468.4298400878906
39.7,20.85,66414.49282892188,57097.223585265274,471.4777221679688
39.7,20.87,64717.04463026899,58676.92306896357,771.7114868164062
39.7,20.89,63020.58452087881,60263.85622833981,1183.918090820312
39.7,20.91,61325.1943996698,61857.466306039896,1301.001342773438
39.7,20.93,59630.96543663331,63457.250253816375,1496.34228515625
39.7,20.95,57937.99941166378,65062.75265379684,881.2608032226562
39.7,20.97,56246.410290463784,66673.56041198639,637.0538940429688
39.7,20.99,54556.32608756491,68289.2981177346,517.511474609375
39.7,21.01,52867.89107883596,69909.62397820067,530.7427978515625
39.7,21.03,51181.26844167163,71534.22624992907,1197.793823242188
39.7,21.05,49496.64342147616,73162.82010085163,696.4107666015625
39.7,21.07,47814.22714961818,74795.14484556284,1130.99267578125
39.72,19.13,27754.1916938912,82958.99186349328,-1020.409790039062
39.72,19.15,26091.568595056688,81465.05531406205,-1051.981323242188
39.72,19.17,24436.25589316419,79764.10075376264,-1117.102416992188
39.72,19.19,22789.843967931345,78063.7077856245,-1086.088012695312
39.72,19.21,21154.40832796948,76363.91312552617,-1137.94580078125
39.72,19.23,19532.703251122555,74664.75682841054,-1129.795043945312
39.72,19.25,17928.451874419723,72966.28267380859,-1142.602294921875
39.72,19.27,16346.790169035838,71268.53860577274,-1144.389282226562
39.72,19.29,14794.960984496687,69571.57723634542,-1142.778686523438
39.72,19.31,13283.41976742214,67875.45642347088,-1144.335083007812
39.72,19.33,11827.618094695192,66180.23993644223,-1141.432006835938
39.72,19.35,10450.87027875551,64485.99822464931,-1097.954833984375
39.72,19.37,9188.77322165516,62792.80930871369,-985.8826293945312
39.72,19.39,8095.1241896638385,61100.7598171936,-771.8536987304688
39.72,19.41,7246.587653631551,59409.94619717375,-492.7413330078125
39.72,19.43,6736.426479607949,57720.47613346713,-280.56689453125
39.72,19.45,6643.053650785377,56032.47021924638,-173.1564483642578
39.72,19.47,6983.200784078808,54346.06393117587,-118.4062728881836
39.72,19.49,7699.6193133488205,52661.40997518568,-124.9145660400391
39.72,19.51,8699.838967638749,50978.68108578239,-133.2681884765625
39.72,19.53,9898.190703159164,49298.07338343657,-90.96458435058594
39.72,19.55,11231.428533820204,47619.81042269761,-130.7147064208984
39.72,19.57,12656.995242047038,45944.14810048285,-20.08470344543457
39.72,19.59,14147.003672165823,44271.38064247223,0.0
39.72,19.61,15683.09440495228,42601.84794996031,-29.26141166687012
39.72,19.63,17252.960667293806,40935.94467570263,-2.241305589675903
39.72,19.65,18848.16253421875,39274.13151363925,-32.2367057800293
39.72,19.67,20462.773563526294,37616.94934563637,0.0
39.72,19.69,22092.536762361993,35965.037105632524,14.34718036651611
39.72,19.71,23734.329234297053,34319.154522260615,147.0340270996094
39.72,19.73,25385.815554636574,32680.211320909915,132.1400299072266
39.72,19.75,27045.218471453,31049.305057502715,120.2779388427734
39.72,19.77,28711.163996842817,29427.770595618687,336.7459716796875
39.72,19.79,30382.574642517688,27816.411733400077,467.7427673339844
39.72,19.81,32058.594448649343,26207.337180490795,426.2230529785156
39.72,19.83,33738.53541723714,24598.13760643712,272.7579040527344
39.72,19.85,35421.83862045064,22988.81297712738,385.1229553222656
39.72,19.87,37108.04554280692,21379.363258408284,36.63278579711914
39.72,19.89,38796.77667407151,19769.78841608066,0.0
